SN,country,points,price,province,region_1,variety,winery
1,US,96,235,California,Napa Valley,Cabernet Sauvignon,Heitz
2,Spain,96,110,Northern Spain,Toro,Tinta de Toro,Bodega Carmen Rodríguez
3,US,96,90,California,Knights Valley,Sauvignon Blanc,Macauley
4,US,96,65,Oregon,Willamette Valley,Pinot Noir,Ponzi
5,France,95,66,Provence,Bandol,Provence red blend,Domaine de la Bégude
6,Spain,95,73,Northern Spain,Toro,Tinta de Toro,Numanthia
7,Spain,95,65,Northern Spain,Toro,Tinta de Toro,Maurodos
8,Spain,95,110,Northern Spain,Toro,Tinta de Toro,Bodega Carmen Rodríguez
9,US,95,65,Oregon,Chehalem Mountains,Pinot Noir,Bergström
10,US,95,60,California,Sonoma Coast,Pinot Noir,Blue Farm
11,Italy,95,80,Northeastern Italy,Collio,Friulano,Borgo del Tiglio
12,US,95,48,Oregon,Ribbon Ridge,Pinot Noir,Patricia Green Cellars
13,US,95,48,Oregon,Dundee Hills,Pinot Noir,Patricia Green Cellars
14,France,95,90,Southwest France,Madiran,Tannat,Vignobles Brumont
15,US,95,185,Oregon,Dundee Hills,Pinot Noir,Domaine Serene
16,US,95,90,Oregon,Willamette Valley,Chardonnay,Bergström
17,US,95,325,California,Diamond Mountain District,Cabernet Sauvignon,Hall
18,Spain,95,80,Northern Spain,Ribera del Duero,Tempranillo,Valduero
19,France,95,290,Southwest France,Cahors,Malbec,Château Lagrézette
20,US,95,75,California,Sonoma Coast,Pinot Noir,Gary Farrell
21,US,95,24,California,Napa Valley,Rosé,Heitz
22,Spain,95,79,Northern Spain,Rioja,Tempranillo Blend,Muga
23,Spain,95,220,Northern Spain,Toro,Tinta de Toro,Numanthia
24,US,95,60,California,Edna Valley,Chardonnay,Center of Effort
25,US,95,45,California,Santa Cruz Mountains,Pinot Noir,Comartin
26,New Zealand,94,57,Kumeu,,Chardonnay,Kumeu River
27,US,94,62,Oregon,Willamette Valley,Pinot Noir,Bergström
28,US,94,105,Oregon,Willamette Valley,Pinot Noir,Ponzi
29,US,94,60,California,Santa Lucia Highlands,Pinot Noir,Roar
30,US,94,60,Washington,Walla Walla Valley (WA),Syrah,Saviah
31,Bulgaria,90,15,Bulgaria,,Mavrud,Villa Melnik
32,US,90,37,California,Russian River Valley,Chardonnay,Zepaltas
33,France,90,22,France Other,Vin Mousseux,Sparkling Blend,Bouvet-Ladubay
34,US,90,42,Washington,Columbia Valley (WA),Chardonnay,Buty
35,Italy,90,135,Tuscany,Brunello di Montalcino,Sangiovese,Carillon
36,France,90,60,Rhône Valley,Châteauneuf-du-Pape,Rhône-style White Blend,Clos de L'Oratoire des Papes
37,Italy,90,29,Tuscany,Vino Nobile di Montepulciano,Sangiovese,Avignonesi
38,Italy,90,23,Tuscany,Chianti Classico,Sangiovese,Casina di Cornia
39,Italy,90,29,Tuscany,Chianti Classico,Red Blend,Castello di Monterinaldi
40,Spain,90,17,Galicia,Ribeira Sacra,Mencía,Don Bernardino
41,Spain,90,26,Andalucia,Jerez,Palomino,González Byass
42,US,90,55,Idaho,,Petite Sirah,Huston
43,Italy,90,39,Tuscany,Chianti Classico,Red Blend,Rignana
44,France,90,69,Rhône Valley,Cornas,Syrah,Tardieu-Laurent
45,Italy,90,30,Tuscany,Chianti Classico,Red Blend,Vignavecchia
46,Italy,90,90,Tuscany,Brunello di Montalcino,Sangiovese,Banfi
47,US,90,60,California,Mount Veeder,Cabernet Sauvignon,Brandlin
48,Italy,90,50,Tuscany,Brunello di Montalcino,Sangiovese,Brunelli Martoccia
49,US,90,40,Washington,Red Mountain,Cabernet Sauvignon,Canvasback
50,Italy,90,100,Tuscany,Brunello di Montalcino,Sangiovese,Capanne Ricci
51,France,90,68,Burgundy,Chassagne-Montrachet,Chardonnay,Chartron et Trébuchet
52,France,90,42,Loire Valley,Sancerre,Sauvignon Blanc,Cherrier Frères
53,France,90,28,Loire Valley,Coteaux du Giennois,Pinot Noir,Clement et Florian Berthier
54,US,90,18,California,Russian River Valley,Chardonnay,De Loach
55,US,90,69,Washington,Red Mountain,Cabernet Sauvignon,DeLille
56,US,90,25,New York,Finger Lakes,Riesling,Dr. Konstantin Frank
57,US,90,30,Washington,Columbia Valley (WA),Cabernet Sauvignon-Syrah,Efeste
58,Italy,90,60,Tuscany,Maremma Toscana,Red Blend,Fattoria di Magliano
59,Argentina,91,30,Mendoza Province,Mendoza,Malbec,Matias Riccitelli
60,Australia,91,36,Victoria,Mornington Peninsula,Pinot Noir,Moorooduc
61,Argentina,91,25,Mendoza Province,Mendoza,Malbec,Navarro Correas
62,France,91,45,Burgundy,Chablis,Chardonnay,Domaine Chenevières
63,Portugal,91,23,Alentejano,,Portuguese Red,Herdade do Rocim
64,US,91,36,California,Santa Clara Valley,Syrah,Jason-Stephens
65,France,91,38,Burgundy,Chablis,Chardonnay,Louis Max
66,US,91,85,California,Napa Valley,Cabernet Sauvignon,Michael Mondavi Family Estate
67,US,91,50,Oregon,Eola-Amity Hills,Pinot Noir,Panther Creek
68,US,91,60,California,Rutherford,Cabernet Sauvignon,Provenance Vineyards
69,US,91,85,California,St. Helena,Cabernet Sauvignon,Raymond
70,US,91,45,California,Sonoma Coast,Pinot Noir,Red Car
71,US,91,19,Oregon,Willamette Valley,Pinot Gris,Trinity Vineyards
72,Portugal,91,15,Alentejo,,Portuguese Red,Adega Cooperativa de Borba
73,US,91,54,Oregon,Willamette Valley,Pinot Noir,Archery Summit
74,France,91,85,Champagne,Champagne,Chardonnay,Aubry
75,US,91,38,California,Napa Valley,Sauvignon Blanc,B Cellars
76,US,91,28,California,Napa Valley,Cabernet Sauvignon,B Side
77,Italy,91,75,Piedmont,Barolo,Nebbiolo,Bel Colle
78,US,91,42,Oregon,Eola-Amity Hills,Pinot Noir,Bethel Heights
79,Israel,91,25,Upper Galilee,,Cabernet Sauvignon,Binyamina
80,Italy,91,59,Piedmont,Barolo,Nebbiolo,Cascina Cucco
81,Italy,91,85,Piedmont,Barolo,Nebbiolo,Cascina del Monastero
82,Italy,91,80,Piedmont,Barolo,Nebbiolo,Cordero di Montezemolo
